data;valor
01/01/2008;22.0
01/01/2009;23.0
01/01/2010;250.0
01/01/2011;26.0
01/01/2012;278.0
01/01/2013;283.0
01/01/2014;27.0
01/01/2015;257.0
01/01/2016;2.0
01/01/2017;2.0
01/01/2018;196.0
01/01/2019;193.0
